,s1
1856,s2
1857,s2
1858,s2
1859,s2
1860,s2
1861,s2
1862,s2
1863,s2
1864,s2
1865,s2
1866,s2
1867,s2
1868,s2
1869,s2
1870,s2
1871,s2
1872,s2
1873,s2
1874,s2
1875,s2
1876,s2
1877,s2
1878,s2
1879,s2
1880,s2
1881,s2
1882,s2
1883,s2
1884,s2
1885,s2
1886,s2
1887,s2
1888,s2
1889,s2
1890,s2
1891,s2
1892,s2
1893,s2
1894,s2
1895,s2
1896,s2
1897,s2
1898,s2
1899,s2
1900,s2
1901,s2
1902,s2
1903,s2
1904,s2
1905,s2
1906,s2
1907,s2
1908,s2
1909,s2
1910,s2
1911,s2
1912,s2
1913,s2
1914,s2
1915,s2
1916,s2
1917,s2
1918,s2
1919,s2
1920,s2
1921,s2
1922,s2
1923,s2
1924,s2
1925,s2
1926,s2
1927,s2
1928,s2
1929,s2
1930,s2
1931,s2
1932,s2
1933,s2
1934,s2
1935,s2
1936,s2
1937,s2
1938,s2
1939,s2
1940,s2
1941,s2
1942,s2
1943,s2
1944,s2
1945,s2
1946,s2
1947,s2
1948,s2
1949,s2
1950,s2
1951,s2
1952,s2
1953,s2
1954,s2
1955,s2
1956,s2
1957,s2
1958,s2
1959,s2
1960,s2
1961,s2
1962,s2
1963,s2
1964,s2
1965,s2
1966,s2
1967,s2
1968,s2
1969,s2
1970,s2
1971,s2
1972,s2
1973,s2
1974,s2
1975,s2
1976,s2
1977,s2
1978,s2
1979,s2
1980,s2
1981,s2
1982,s2
1983,s2
1984,s2
1985,s2
1986,s2
1987,s2
1988,s2
1989,s2
1990,s2
1991,s2
1992,s2
1993,s2
1994,s2
1995,s2
1996,s2
1997,s2
1998,s2
1999,s2
2000,s2
2001,s2
2002,s2
2003,s2
2004,s2
2005,s2
2006,s2
2007,s2
2008,s2
2009,s2
2010,s2
2011,s2
2012,s2
2013,s2
2014,s2
2015,s2
2016,s2
2017,s2
2018,s2
2019,s2
2020,s2
2021,s2
2022,s2
2023,s2
2024,s2
2025,s2
2026,s2
2027,s2
2028,s2
2029,s2
2030,s2
2031,s2
2032,s2
2033,s2
2034,s2
2035,s2
2036,s2
2037,s2
2038,s2
2039,s2
2040,s2
2041,s2
2042,s2
2043,s2
2044,s2
2045,s2
2046,s2
2047,s2
2048,s2
2049,s2
2050,s2
2051,s2
2052,s2
2053,s2
2054,s2
2055,s2
2056,s2
2057,s2
2058,s2
2059,s2
2060,s2
2061,s2
2062,s2
2063,s2
2064,s2
2065,s2
2066,s2
2067,s2
2068,s2
2069,s2
2070,s2
2071,s2
2072,s2
2073,s2
2074,s2
2075,s2
2076,s2
2077,s2
